Classification:
  fr: 70032
  en: 354
  mixed: 592
  other: 3686
  empty: 0

=== EN-only examples (first 100 of 354) ===
AR_Mephits_183	"Ah-hah ! <shake>Pris</shake> !"
CB_Akzel_29	« Merci. Je l'ai trouvé dans la maison des morts. Visken a eu la gentillesse de me laisser le prendre. »""
CB_Akzel_126	« Oh. Oh ! »
CB_Akzel_247	« Alors il y a un ancien peuple-escargot, puis un peuple-chat un peu moins ancien qui a construit des trucs-chats par-dessus les trucs-escargots ? »
CB_Apartment_331	« Je veux dire... écoute — on ne cherche aucun trésor de dragon. On a des choses à faire. »
CB_BagofHolding_14	Ce qui est intéressant, c'est que celui qui a laissé ça derrière a très bien pu y stocker un tas de TRUCS chouettes.
CB_Bondavol_14	Oh-oh. C'était probablement une très, très bête idée.
CB_Bondavol_68	« Mais on vit ici quand même. Donc on paie les impôts. »
CB_Bondavol_80	« Ah oui. Un vrai parti gobelin. Le slogan serait <i>Nous Aimons l'Anarchie</i>, et on gagnerait par un raz-de-marée. »
CB_Bondavol_597	« L'Ère de la Porte a commencé il y a plus de quatre <i>mille</i> ans. Te rends-tu compte du peu de reliques, et a fortiori de créatures, qui existent encore de cette époque ? »
CB_Bondavol_714	Il ricane. « Ces mégères ont été matées vers la fin. Leur ralliement à la Révolution a été l'un des principaux artisans de la chute de l'empire. Du moins cela me paraît ainsi. »
CB_Bondavol_750	« Oh ! C'est vrai, je me souviens. Vous autres avez une sorte de démo-cratie en cours. »
CB_Bondavol_761	« Ah ! Le sens a beaucoup changé au fil des ans ! »
CB_Bondavol_836	La mystérieuse mort de Thomas Darrow a fait l'objet de bien des écrits dans les magazines il y a environ quinze ans, quand tu étais enfant.
CB_Bondavol_846	« On me donne des nouvelles parfois, mais je ne sais pas. »
CB_CraniumAnt_24	On est peut-être minuscules, mais crois-nous, on mord !
CB_CraniumAnt_116	Mais on est partis ! T'as gagné ! Alors oublions le <shake>passé</shake>. Comme on dit.
CB_CraniumAnt_121	On a été chassés de la zone il y a un moment, mais... <i>nous</i> m'<i>avons</i> oubliée derrière.
CB_CraniumAnt_213	Cela dit, j'imagine que c'est... un peu différent quand on a vraiment un esprit individuel sur les choses.
CB_CryptDoor_13	« Ouais. On a vraiment merdé avec cette politique de non-exploration. »
CB_DeadGoblin_54	« Il nous a écrasés sous son talon et a appelé cela miséricorde. »
CB_Ettir_111	« On a besoin d'aide
CB_HallwaySolution_200	« On — on court ? »
CB_HallwaySolution_281	On a l'impression d'un instant et d'une éternité à la fois.
CB_HallwaySolution_298	On a l'impression d'un instant et d'une éternité à la fois.
CB_HallwaySolution_325	« Oh. Oh merde. »
CB_HallwaySolution_327	« Oh, que les dieux soient bons — <shake>on est sortis</shake> ! »
CB_HallwaySolution_388	« Tu sais, je me disais que ce serait facile de me balader avec un clerc ? Tu pourrais juste user de ta magie puissante pour résoudre n'importe quel souci. »
CB_HallwaySolution_389	« On dirait que je me trompais. Allons-y. »
CB_HallwaySolution_441	« Entre le jardin et les égouts de Waterlane, je suis sûr à cent pour cent qu'il y avait un couloir incliné rempli de piques glacées. On les avait condamnés du mieux qu'on a pu à l'époque. »
CB_HallwaySolution_635	« On a de la chance que Moongore l'ait vu. Même si elle l'a laissé passer avec cette magie. »
CB_HallwaySolution_683	« Tu me parais bien renseigné, Snell. Merci de me guider. »
CB_HallwaySolution_755	On dirait qu'elle a la même mentalité que la plupart des dictateurs.
CB_HallwaySolution_767	« Pour le moment, on a des choses plus pressantes à régler. »
CB_HallwaySolution_856	On leur a donné un nouveau foyer.
CB_HallwaySolution_857	On les y a forcés.
CB_HallwaySolution_915	« Et qu'on te disait ensuite d'être <i>reconnaissant</i> d'être en vie, juste parce que le même monstre qui a détruit toute ta culture a aussi décidé de te laisser vivre. Pour quelque raison. »
